"","x"
"200","dear  pesan    toko tutup perihal an driver eh tau tau tutup  tampil  toko close otomatis pesan thankyou "
"201","good"
"202","keren bantu"
"203","beleh"
"204","akhir rekan  resto driver enak batal pesan munggu terima order"
"205","puas"
"206","good"
"207","yes"
"208"," ok"
"209","mudah temu titik jemput"
"210","alhamdulillah rabbil aalamiin"
"211","aneh ngambil rute  "
"212","mantap deh"
"213","bantu khusus layanan food murah promonya beli ukur kelompok berlaku beli beli es teh harga ribu bayar ongkir sembilan ribu biaya operasional ribu promo jarak beli ongkir es teh biaya administrasi promo ditawarkan tunjang"
"214"," biyaya tiada merchant tekan biyaya sepi konsumen mhl  merchant turun harga untung sepi order potong promo sasar paksa iklan order masuk biyaya iklan bengkak klik klik iklan bot tanggung"
"215","aplikasi update update ber "
"216","orang santun"
"217","bagus"
"218","lier lila download deui"
"219","seru"
"220","ok"
"221"," pesan titik"
"222","mantap  aplikasi  nya"
"223","kemudi ramah sahabat"
"224","goooooooooooodddd"
"225","bagus"
"226","ok"
"227","terima bapa sehat"
"228","jelek alamat map sellu akurat"
"229"," mantap"
"230","keren  app bantu  and mudah akses thank you"
"231","okay"
"232","terima "
"233","mahal harga malas nge "
"234","ok"
"235","bagus"
"236","parah promonya  metode pembayaranya nya"
"237","aplikasi jelek  donwload masuk aplikasi buang kuota sesal"
"238","good"
"239","ok"
"240","aplikasi bantu"
"241","mesen "
"242","aplikasi bagus"
"243","alhamdulillah driver nya"
"244","kemudi okey ramah supel"
"245","biaya mesan mahal"
"246","mantap"
"247","bagus"
"248","ok"
"249","aplikasi bantu"
"250","good cuman ongkir mahal"
"251","mantap bantu"
"252","character"
"253","ntaps"
"254","ok"
"255","semoga"
"256","supirnya suka bantu"
"257","ramah ram"
"258"," aplikasi bayar suai aplikasi driver tutup kelen"
"259","aman nyaman"
"260","mntap"
"261","bantu"
"262","terima "
"263","bantu jmput"
"264","keren"
"265","ramah orang"
"266","layanan memuaskan"
"267","per anya nyaman"
"268","dpat update"
"269","supir ramah senang"
"270"," bantu sekal  kmna"
"271","oke"
"272","aplikator culas maksud tampilin rating konsumen aplikasi mitra biar konsumen rating hancur"
"273","terima bantu"
"274","oke good"
"275","mantap"
"276",NA
"277","mantap"
"278","sngat memuaskan"
"279","bagus suka  "
"280","mantap"
"281","suka"
"282",NA
"283","bagus"
"284","lumayancepat"
"285","nice"
"286","bagus"
"287","ulang  download"
"288","good"
"289","pas donlowad selesai buka"
"290","bantu"
"291",NA
"292","mantapa"
"293","apk  murah harga promo banding apk ijo harga mahal promo cocok apk  banding apk gojek  murah harga banding apk gojek tks  indonesia"
"294","senang"
"295","nyaman"
"296","character"
"297","aplikasi update"
"298","good"
"299","worth biaya"
"300","cepat"
"301","cepat"
"302","mudah"
"303","voucher promo  isi pmbayaran  ovo"
"304","  greb enak mengecewakam"
"305","driver ramah"
"306","ok"
"307","masuk app muncul gambar putih doang order  coba gambar sinyal app lancar malas pakenya"
"308","mantap"
"309","bagus"
"310","mantap"
"311","Lumayan"
"312","min  harga ajar min uang jajan potong melulu nih min nge "
"313","bagusd"
"314"," lounge nyaman ramah"
"315","maaf  bintang mei top up rm mbanking saldo top up masuk email direspon"
"316","nyaman sekal"
"317","pokok mantap"
"318","terlaku ayamx"
"319","ok"
"320","mantap anak aman  "
"321","qq"
"322","ring butuh "
"323","mantap"
"324","puas"
"325","bantu"
"326","hmmmm bagoos"
"327","mantap promo hemat"
"328","biaya resto cekik castamer biaya layanan "
"329","bagus"
"330","layanan bagus  tah"
"331","polsek papanggo"
"332","mantap aplikasi"
"333","ok"
"334","butuh dana butuh bunga rendah"
"335","puas"
"336","keren"
"337","bagus"
"338","bantu"
"339","ok"
"340","ok"
"341","apk simple"
"342","mantap"
"343","apk bunuh mitra driver"
"344","sukses"
"345","bagus"
"346","mudah mnggunakan aplikasi mantap sukses "
"347","bagus"
"348","ter harab"
"349","msakan bebek enak ouh"
"350","mantap"
"351","bagus"
"352","terima kak semoga selamat  sukses"
"353","pelayanana"
"354","bagus"
"355",NA
"356","senang"
"357","wiia"
"358","mantap"
"359","updetnya susahh"
"360","character"
"361","good"
"362","Lumayan"
"363","ok"
"364","mantap"
"365","pesan promo driver ambil  kecewa"
"366","ok"
"367","nyaman ber sahabat"
"368","ramah"
"369","top"
"370","qqqq dunia"
"371","ramah ojol nya"
"372","ok"
"373","is very good"
"374","ok"
"375","mudah "
"376","puas"
"377","coba  aplikasi bintang"
"378","bagus"
"379","keren "
"380","gercep"
"381","bagus"
"382","ok"
"383","mantap"
"384","mesan food  sampah   terima warung warung daftar sortir warung layak terdftar diaplikasi begini rugi langgan"
"385","ramah sopan"
"386","bagus"
"387","mantap"
"388","sanngatt bantu"
"389","driver korban promo order oprec miskin"
"390"," batal"
"391","mantaaaaap deh "
"392","terima "
"393","terima "
"394","diskon ok aplikasine wagu"
"395","bagus"
"396","appan deh cod alah"
"397","ramah"
"398","donlot aneh"
"399","bagus"
"400","instal gagal"
"401","apknya"
"402","ok good"
"403","bagus pesan  kendara dll"
"404","update "
"405","sip pokoke"
"406","kemudi atribut lengkap on time"
"407","ramah mobil ber rapi"
"408","very good"
"409","pokok puas"
"410","bantu aktivitas"
"411","ok promonya"
"412","kecewa tau alas tangguh rating turun  tangguh akun customer tau butuh suport customer"
"413","memuaskan"
"414",""
"415","voucher diskon murah"
"416","good"
"417","oke"
