"","x"
"164","ampuuunnn deh hapus aplikasi hape download apk gojek gede sih mbak aplikasi hapus mbanking hapus gojek hadeuhhh mbak biar download"
"165","go car sulit"
"166"," akal ongkos gila gila siksa driver bonus kerja rodi"
"167","layan gofood hemat ongkirnya ongkir reguler letak hemat bossku"
"168","mantab"
"169","ok"
"170","mantap bantu"
"171","enak lo ye saldo bekuk dasar"
"172","bagus"
"173","cepat ramah"
"174","lumayan bagus promo"
"175","bantu"
"176","character"
"177","download aplikasi alat transportasi oke"
"178","aplikasi aneh ngeblock ngotak"
"179","nice"
"180","layan muas"
"181","bagus tingkat"
"182","goooddddd"
"183","gojek simak hati lihat mitra mu jalan jasa aplikasi mahal castamer pindah aplikasi driver aka maju mudah cari mitra sistem rubah"
"184","fed"
"185","character"
"186","mantap"
"187","aplikasi bagus orang ramah ramah"
"188","good"
"189","download jam gadapet driver sih nih aplikasi titik drivernya tau bikin orang telat kerja"
"190","gojek gojek ayan buruk"
"191","berat badan kg muat jwbn ya"
"192","bagus"
"193","kgaa jls mesen gojek tumpang driver menit driver"
"194","mantul mas bro"
"195","aplikasi bantu lancar transportasi"
"196","mantap tks"
"197","muter drivernya kayak langsung driver go food drivernya kadang driver drivernya aplikasi gojek kayak biar aplikasi parah lelet"
"198","mantap"
"199","gojek susah login semenjak verifikasi link ribet mending verifikasi sms mudah cs solusi rumit bayar tokped kadang error pin suai pin salah pin suai maksa bilang pin suai tau pin tau pin suai salah mulu gopay nya"
"200","bagus gratis transfer x apk biru mohon min"
"201","nyaman"
"202","tarif biaya aplikasi "
"203","gojek promonya disc ongkir rb disc ongkir gede mesti hrz min beli rb rb hrz syarat min beli mending promo san ongkir gojek mahal hrz byr biaya penanganan aplikasi harga gofoods mahal hadeuhh beli donat rb hrz byr toral rb ongkir rb biaya aplikasi rb bangkrut gojek bubar"
"204","saldo teman"
"205","sistem drivernya kayak main game"
"206","reputasi buruk dc kredit pintar cicil lunas bilang teror kerja profesional"
"207","gojek manusiawi potong an driver tau pundi pundi uang utama driver lihat driver sejahtera"
"208","ayan muas"
"209","oklah"
"210","joss pis"
"211","gojek aplikasi menu gopay muncul transaksi susah uninstal muncul balikin uang gopay gua woy sesal gojek"
"212","habis tf orang muncul saldo salah saldo asli situ saldo asli mending uninstall jalan ngebug sesal simpan duit"
"213","aplikasi"
"214","korup ya kayak mahal"
"215","cepat"
"216","najis gojrk tf verifikasi ktp verifikasi tolak suai ktp muka muka gua simetris orang muka simetris anjing sial ksl"
"217","habis update saldo gopay muncul"
"218","muas"
"219","bapuk bos feersi gacir sih jalan trip"
"220","ribet argo mhal"
"221","mantap"
"222","terbaekkkk"
"223","mantap"
"224","top"
"225","gocar driver enak ramah"
"226","murah sopan aman bersih"
"227","ok"
"228","turun apk lemot "
"229","order gocar loadingnya uninstal ya"
"230","respon cs muas slow respon"
"231","bagus"
"232","mantap"
"233","lodingnya timbul saldo"
"234","bagus"
"235","simple bantu"
"236","maju putra bangsa"
"237","tarik saldo gopay rekening bank proses kena biaya admin"
"238","aplikasi lambat pengin cek saldo gopay "
"239","tarif otak tutup"
"240","bug hapus auto install ulang aplikasi wkwkw"
"241",""
"242","lemot"
"243","ngebug ya saldo loading min mohon"
"244","tarik saldo nya"
"245"," otp"
"246","lapor indak jaring bagus sar diisrh logout login kembali stlah login saldo gopay hilang dasar indak jls aplikasi lelet stupid"
"247","ayan"
"248","gojek gopay rp gopay loading ya sinyal bagus mohon bantu gojek"
"249",NA
"250","transfer uang gopay"
"251","update pengaruh tf gopay woy"
"252","moga amanah"
"253","sistem enggak beres potong raja lela ongkos cekik gara gara management gojek pikir profit usaha bilang rugi sistem driver mitra cekik costumer pelnggan tinggal aplikasi gojek driver costumer sistem kesni parah"
"254","aplikasi lemot"
"255","mahal biaya layan harga makan murah mahal gara biaya layan promo diskon akal an kecewa"
"256","upgrade goplay plus hadehh"
"257","order doble gofood yv order tarif rp suai harga bensin cutomernya kena biaya ongkir normal kah coba"
"258","drivernya sopan sekal"
"259","upgrade kirim saldo"
"260","sekal"
"261","pas transaksi input pin terang koneksi g unlimited jaring lancar aplikasi update"
"262","harga mahal"
"263","prioritas"
"264","sabar shalat qs al baqarah"
"265"," kritik kritik jeeee hebat"
"266","good"
"267","anyeb gojek anyeb"
"268",NA
"269","transfer bank mandiri"
"270","ok"
"271"," aplikasi batu"
"272","good"
"273","kadang tahap sulit"
"274","coba"
"275","tau"
"276","mahal sekal potongan usaha tinggal duduk uang uaasyuuuu sekal"
"277","mantul pis"
"278","wooyyy aplikasi gajelass ganggu pemberitahuan transaksi susah bayar bangsattt bikin susahh pagi ajak geluutt aplikasi"
"279","salah gojek cepat lancar aplikasi jos"
"280","gojeg online gopanter bikin aplikasi jalan canggih aplikasi bobrok oferator siber aiti sih program cipta aplikasi gojeg nadim makarim order order order mudah sewa aplikasi gojegnya indonesia mudah gampang order aplikasi"
"281","bagus "
"282","anak sultan beli paket diskon ongkir help paket sedia beli paket diskon ongkir aneh"
"283","lokasi kota coba"
"284","mantap deh"
"285","ongkos gojek gocar mahal kalah grab"
"286","selamat pagi aplikasi bayar eror"
"287"," sih"
"288","kemarin beli emas go invest menu ya"
"289","parah kagak transaksi gopay complain respon"
"290"," gojek kecewa tah ya "
"291","bantu urgent"
"292","gojek mudah"
"293","oke"
"294","mohon kinerja gps susah compare titik alamat rumah data tq"
"295","on time"
"296","solusi kendara"
"297","jobb"
"298","login ribet gue login nomor hp verifikasi link ribetnya otomatis gue link gojek hp gue kirim linknya hp aplikasi gojek kirim opsi login link kode otp call email"
"299","gocar gobike oke gofood foucer jarang "
"300","gopay blokir transaksi"
"301","ok"
"302","puas"
"303","ok"
"304","bantu bagus"
"305","ok"
"306","bantu pergi"
"307","kecewa "
"308","jaya gojek"
"309","lambat apk gagal"
"310","good job"
"311","milik alam senang kemarin siang driver mampir bentar buah jalur tuju driver extra payment x lipat driver mengcancel order alas ribet cancel driver uang cancel extra payment aplikasi mohon tindak"
"312","mantap sih"
"313","bantu"
"314","puas "
"315","its sok sad can sih my old transaction beyond"
"316","voucher mobil gantilayanan motor voucher motor langsung voucer mobil ganti layan hadeeeh bobrok ganti maxim"
"317","aplikasi parah maaf kaya aplikasi"
"318","gopay gampang blokir blokir buka buka"
"319","potong driver cs bayar driver rendah"
"320","kendala sih gojek"
"321","gojek gue pergi mtr "
"322"," rt setempat kalau rapat koordinasi warga jangan nguyah terus kentut"
"323","akun fitur dana teman ya min"
"324","mantap"
"325","character"
"326","cepat okke"
"327","mantap mitra driver gojek puas moga sistem lancar utama sistem order driver konsisten lancar"
"328","bagus"
"329","biaya aplikasi mahal orang orang aplikator gojek serakah ngambil untung ongkir driver zholimin aplikator gojek moga orang orang aplikator gojek barokah zholimannya aaamiiinn"
"330"," gofood atur sistem plus promo pisah pisah gerti atur biaya mesan aduh aduh"
"331","apk knapa ya cari alamat lihat beres apk driver sopan order langsung chat nelpon bilang ambil order biar langsung cancel cancel drivernya loh"
"332","hu hbg"
"333","aplikasi serbaguna app butuh"
"334","ribet culas"
"335","yn"
"336","ramah"
"337","sejarah dunia rojol onlinean hmm parah promo mahal order parah deh pokok bagus pegang sih kevin jujur parah "
"338","mantap"
"339","there is one story of mine about gojek sih order was almost midnight around my phone was dead since no battery left at that moment tried order any kind of online transportation via laptop and the internet but no avail the systems keep asking either through phone short messenger orang email verification shortly there was one really nice honest gojek driver with uncommonly good vehicle that helped me went my home maybe gojek could help web access the future"
"340","pylater nya"
"341","biaya layan mahal malas order gojex"
"342","isi data gopay ubah bayar gopay stuck buffering aplikasi lancar makain update turun performa kecewa sih ngisi gopay ending "
"343","mantap"
"344","berat ongkirnya"
"345","ayan cepat aplikasi voucher"
"346","mantap"
"347","customer rating bos gojek sayq langgan go jek member gold tok ajuk go pinjam lolos kualifikasi kecewa aplikasi go jek hp tok un install minggu teman kredit pintar pandang rendah lolos kualifikasi go pinjam bye"
"348","bagus towwa"
"349","topup telat lambat ayan topup "
"350","ok"
"351","gojek malam ngeblank mulu"
"352","promonya promo goridenya"
"353","bismilah semogah bagus jaya jaya mantap bagus cakep aplikasi gojek aman jalan"
"354","mantab"
"355","buruk"
"356","laku bayar tagih pkb status gagal lapor tanggap itu bilang solusi ndk suruh coba kayak sia isi saldo gopay bayar pkb lumayan "
"357","biaya adminnya digedein top up lelet"
"358","akun gopay pin"
"359","mantap aman bawa kendara nyaman"
"360","bantu rekomended "
"361","drivernya cari jalan jebak macet waktu matursuwun"
"362","voucer hilang berlaku"
"363","one lemah tau untung cuan cuan cuaaan"
"364","cepat"
"365","good"
"366","driver cancel alas susah sekal driver gocar gofood suai bikin lapor feedback solusi lapor feature bantu konsumen"
"367","gojek mudah"
"368","diskon makan love"
"369","mantab"
"370","bagus"
"371","bantu sekal"
"372","keren"
"373","kecewa dibutuhin nyaut"
"374","tarik saldo ribet acara upgrade gopay plus"
"375","mantuuulll"
"376",""
"377","login"
"378","drivers sar pindah aplikasi grab driver serah ayan jamin mutu fakta maaf pindah aplikasi driver jamin selamat iklan berangan angan"
"379","ok laah"
"380","bayar"
"381","ribett aplikasi top up gilir transfer rekening upgrade gopay aneh ribetttttt"
"382","bantu mudah"
"383","penyelelesaian akun ku bajak orang pin gopay ganti riset pin sussah suruh kirim bantu menu bantu akun gim apk "
"384","driver kasar"
"385","ok nyaman"
"386","efesien kompleks"
"387","oke sip"
"388","ok mantap"
"389","ya nikmat"
"390","gojek fitur gopaypinjem hapus aju tolak notifikasi penawaran pinjam tolak bikin malas gojek"
"391","apk gojek pilih market belanja go mart padahal set lokasi belanja paten mart mulu kejauhen"
"392",NA
"393","biaya aplikasi mahal"
"394",""
"395","bagus bantu"
"396"," kak driver tes taat atur lintas main hp jalan nya"
"397","good"
"398","gampang blokir susah gopay"
"399","sa zz zzzxxxzfddds"
"400",NA
"401","driver jemput"
"402","ribet aup date gopay plus transfer bank gara gara gagal update ambil iang kayak pinjam online"
"403","the best"
"404","bagus"
"405","bantu butuh"
"406","bantu"
"407","bantu"
"408","matap"
"409","top"
"410","bagus rekap transaksi tanggal periode"
"411","ah"
"412","ok"
"413","bagus bantu"
"414","cepat"
"415","isi saldo rb via baca laporandi baca hasil saldo tipu lapor nadiem"
"416","recomend"
"417","ampunla"
"418","sistem jelek kayak aplikasi sebelah kecewa"
"419","aplikasi gojek mantap ya oke"
"420","ramah dan muas"
"421","bantu sekal"
"422","batal eror batalin nomor order suai"
"423","baharu nomer telpon aplikasi gojek bank jago aplikasi hubung email nomer telpon"
"424","bagus"
"425","kecewa gojek blokir gopaylater akun customer alas transaksi gopay limit limit jarang transaksi gopay langsung blokir nunggak jatuh tempo"
"426","character"
"427","mantap jiwa"
"428","diver ramah jalan aman tuju"
"429"," drever jauh dreverny"
"430","bagus "
"431","bagus"
"432","download sesal"
"433","mantap"
"434","ok"
"435"," sedia setor tunai atm"
"436","oke oke"
"437",NA
"438"," info"
"439","promo"
"440","mahal biaya layan digedein promo hitung hitung kayak promo mending alih grab"
"441","jelek jdinya order orang psen gojek lokasi tuju hilang mubah aplikasi"
"442","ongkir gofood mahal sekal km jarak ongkir mahal "
"443","good"
"444","tingkat"
"445","aplikasi lengkap"
"446","parah gojek ongkos mahal drivernya konsumen pindah apklikator"
"447","pas ambil foto ktp susah log out uang tinggal kirim coba sinyal manteng "
"448","oke"
"449","jalan"
"450"," gocar taxi blue biru monopoli sekal ya"
"451","apk lemott"
"452","huge gue for gojek"
"453","good"
"454","mantap"
"455","done"
"456","akun drastis online"
"457","ayan cepat"
"458","mantap mudah"
"459","ok"
"460","lumayan bantu"
"461","bantu rumah"
"462",NA
"463"," potong jasa aplikasi layan pindah sebelah loh"
